property_type,society,sector,price,price_per_sqrt,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,ss almeria,sector 84,1.5,7500.0,3,3,3,2.0,New Property,1849.0,0,1,0,0,0,1,108,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,shri banke bihari society,sector 56,1.35,9642.0,3,3,3+,4.0,Old Property,1450.0,0,0,0,0,1,0,174,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,suncity platinum towers,sector 28,6.2,23091.0,3,4,3+,21.0,Relatively New,2000.0,0,1,0,0,0,0,160,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,dlf the belaire,sector 54,10.0,24558.0,4,5,3+,17.0,Moderately Old,3000.0,0,1,0,0,0,2,167,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,paras irene,sector 70a,1.2,8450.0,2,2,3,6.0,Moderately Old,1285.0,0,0,0,0,0,1,42,"28.3845° N, 77.0226° E",28.3845,77.0226
flat,kiran residency,sector 56,1.5,7500.0,3,3,3+,4.0,Relatively New,1900.0,0,1,0,0,0,0,126,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,sanskriti apartments,sector 43,2.5,13513.0,3,2,3,5.0,Old Property,1674.0,1,0,0,0,0,1,0,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,sare homes,sector 92,0.8,5252.0,3,3,3,7.0,Relatively New,1692.0,1,0,0,0,0,0,80,"28.4079° N, 77.9153° E",28.4079,77.9153
flat,sbr minda sec 1 imt manesar,manesar,0.65,4259.0,3,2,3+,6.0,Moderately Old,1696.0,0,0,0,0,0,1,5,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,smart world gems,sector 89,1.1,9972.0,3,1,0,0.0,New Property,1103.0,0,0,0,0,0,1,45,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,vatika the seven lamps,sector 82,1.28,6819.0,3,3,3,3.0,Relatively New,1800.0,1,0,0,0,0,0,165,"28.3935° N, 76.9600° E",28.3935,76.96
flat,shri ram apartments,sector 4,0.32,3368.0,2,2,1,4.0,Relatively New,1056.0,0,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
house,dlf the grove,sector 54,5.7,23457.0,4,4,0,1.0,Moderately Old,2430.0,0,0,0,0,0,1,46,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,pgr shree kripaluji apartment,sector 52,1.4,6086.0,3,3,3+,8.0,Relatively New,2556.0,0,0,0,0,0,0,80,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,satya the hermitage,sector 103,0.99,6655.0,3,4,3+,2.0,Relatively New,1731.0,0,1,0,1,0,1,174,"28.4949° N, 77.9845° E",28.4949,77.9845
house,emaar mgf marbella,sector 66,9.0,21251.0,4,4,3+,2.0,Relatively New,5200.0,0,1,1,1,0,0,114,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,la vida by tata housing,sector 113,2.78,11346.0,3,3,3,3.0,New Property,2599.0,1,1,0,0,0,1,174,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,zara aavaas,sector 104,0.49,6577.0,3,2,2,7.0,Under Construction,695.0,0,0,0,0,0,1,74,"28.4788° N, 76.9960° E",28.4788,76.996
flat,mariners home,sector 56,2.11,8612.0,3,2,3,4.0,Relatively New,2250.0,0,0,0,0,1,0,126,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,conscient heritage max,sector 102,1.75,9062.0,3,4,3+,16.0,Relatively New,1748.0,0,1,0,0,0,1,134,"28.4750° N, 77.9715° E",28.475,77.9715
house,independent,sector 7,0.9,10000.0,2,4,3,3.0,Old Property,900.0,0,1,0,0,1,0,44,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,shree vardhman flora,sector 90,1.27,4951.0,4,5,2,9.0,New Property,2248.0,1,1,0,0,0,1,83,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,godrej nature plus,sector 33,1.15,11558.0,2,2,2,15.0,New Property,103.0,0,0,0,0,0,1,38,"28.4420° N, 77.0207° E",28.442,77.0207
flat,signature global grand iva,sector 103,0.5,6250.0,2,2,2,10.0,Relatively New,698.0,0,0,0,0,0,1,8,"28.4949° N, 77.9845° E",28.4949,77.9845
flat,imperia the esfera,sector 37c,1.4,5384.0,4,5,3,9.0,Relatively New,2343.0,1,1,0,1,1,1,49,"28.4515° N, 77.9882° E",28.4515,77.9882
flat,pivotal devaan,sector 84,0.37,6346.0,2,2,1,5.0,Relatively New,532.0,0,0,0,0,0,1,73,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,emaar digihomes,sector 62,2.1,14254.0,2,2,2,30.0,New Property,1365.0,0,1,0,0,0,1,52,"28.4139° N, 77.0886° E",28.4139,77.0886
flat,godrej,sector 79,2.0,8453.0,3,4,3+,2.0,Relatively New,2629.0,0,1,0,0,0,0,156,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,mapsko casa bella,sector 82,0.86,8120.0,3,3,3,5.0,Moderately Old,1234.0,1,0,0,0,0,0,120,"28.3935° N, 76.9600° E",28.3935,76.96
flat,raheja vedaanta,sector 108,0.65,4761.0,2,2,2,5.0,Relatively New,1235.0,0,0,0,1,0,0,174,"28.5134° N, 77.9830° E",28.5134,77.983
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,17285.0,3,3,3,12.0,New Property,1465.0,0,0,1,0,0,1,72,"28.4750° N, 77.9715° E",28.475,77.9715
flat,tulip violet,sector 69,1.75,9459.0,3,4,2,0.0,Relatively New,2056.0,0,0,0,0,0,0,174,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,rof ananda,sector 95,0.38,5899.0,2,2,2,5.0,Relatively New,716.0,1,0,0,0,0,1,83,"28.4172° N, 77.9081° E",28.4172,77.9081
flat,supertech araville,sector 79,1.35,9000.0,2,2,3,6.0,New Property,1350.0,1,0,0,0,1,0,88,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,tulip white,sector 69,0.9,6000.0,3,2,3+,1.0,Relatively New,1326.0,0,0,0,0,0,0,149,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,sare homes,sector 92,0.56,4729.0,3,1,3,1.0,Moderately Old,1316.0,0,0,0,0,0,0,75,"28.4079° N, 77.9153° E",28.4079,77.9153
house,housing board colony,sector 28,2.1,23333.0,2,8,3+,4.0,Moderately Old,900.0,0,0,0,0,1,0,38,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,shree vardhman victoria,sector 70,1.63,8358.0,3,3,3,5.0,New Property,1527.0,0,1,0,0,1,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
